Interest,Skill_Level,Work_Style,Education,Personality,Problem_Solving,Tech,Communication,Leadership,Creativity,Career
Science,Expert,Remote,Masters,Thinker,Practical,None,Excellent,Visionary,High,Marketing Manager
Technology,None,Solo,High School,Extrovert,Intuitive,Very High,Excellent,Moderate,Medium,Data Scientist
Technology,Beginner,Office,Diploma,Thinker,Intuitive,High,Poor,Moderate,Very High,Software Engineer
Technology,Expert,Solo,Masters,Extrovert,Intuitive,None,Excellent,Visionary,Low,Doctor
Art,Beginner,Remote,Bachelors,Extrovert,Logical,None,Outstanding,Collaborative,Exceptional,Marketing Manager
Medicine,None,Flexible,Diploma,Extrovert,Creative,Low,Fluent,Moderate,Very High,Marketing Manager
Art,None,Team,Masters,Thinker,Creative,None,Outstanding,Visionary,Very High,Graphic Designer
Business,Expert,Solo,Masters,Introvert,Intuitive,High,Fluent,Strong,Medium,Software Engineer
Science,Expert,Solo,Masters,Extrovert,Analytical,Very High,Average,Moderate,Low,Data Scientist
Science,Beginner,Solo,High School,Thinker,Creative,Medium,Poor,Strong,Low,Data Scientist
Medicine,Intermediate,Flexible,Bachelors,Leader,Logical,Low,Average,Visionary,Medium,Graphic Designer
Art,Beginner,Remote,PhD,Extrovert,Analytical,High,Outstanding,Visionary,Exceptional,Doctor
Art,Expert,Remote,Diploma,Doer,Analytical,None,Poor,Moderate,Exceptional,Marketing Manager
Art,Intermediate,Solo,Diploma,Thinker,Analytical,Low,Fluent,Strong,Very High,Doctor
Medicine,Beginner,Team,Masters,Doer,Intuitive,Very High,Fluent,None,Low,Graphic Designer
Technology,Intermediate,Team,High School,Doer,Logical,High,Average,None,Exceptional,Data Scientist
Business,Advanced,Solo,Masters,Leader,Analytical,None,Excellent,Strong,High,Software Engineer
Medicine,Beginner,Flexible,PhD,Introvert,Intuitive,High,Fluent,Visionary,Very High,Software Engineer
Science,None,Remote,High School,Doer,Analytical,High,Fluent,Strong,Medium,Graphic Designer
Medicine,Intermediate,Solo,Bachelors,Thinker,Creative,High,Average,Visionary,High,Doctor
Science,Intermediate,Office,Bachelors,Extrovert,Logical,None,Fluent,Moderate,Very High,Data Scientist
Medicine,Beginner,Team,Diploma,Introvert,Creative,Low,Average,Strong,Low,Software Engineer
Technology,Expert,Remote,Diploma,Leader,Analytical,High,Outstanding,Collaborative,Low,Graphic Designer
Art,Intermediate,Flexible,Masters,Leader,Practical,None,Excellent,Visionary,High,Marketing Manager
Art,Intermediate,Solo,Masters,Leader,Intuitive,High,Excellent,Visionary,Exceptional,Data Scientist
Science,Intermediate,Remote,Diploma,Extrovert,Logical,Very High,Poor,Collaborative,Medium,Marketing Manager
Art,None,Remote,Diploma,Extrovert,Practical,Low,Fluent,Collaborative,High,Marketing Manager
Business,Intermediate,Solo,High School,Extrovert,Creative,Medium,Poor,Strong,Very High,Marketing Manager
Technology,Intermediate,Office,High School,Doer,Analytical,Medium,Excellent,Moderate,Medium,Data Scientist
Science,Expert,Solo,Bachelors,Introvert,Intuitive,Low,Outstanding,Visionary,Exceptional,Marketing Manager
Business,Beginner,Remote,Masters,Doer,Practical,None,Excellent,Visionary,High,Marketing Manager
Art,Advanced,Office,Masters,Extrovert,Logical,High,Outstanding,Moderate,Medium,Software Engineer
Business,None,Flexible,Masters,Extrovert,Creative,High,Average,Strong,High,Software Engineer
Science,Expert,Flexible,High School,Leader,Creative,Medium,Fluent,Visionary,Exceptional,Marketing Manager
Technology,None,Office,Bachelors,Introvert,Creative,Low,Fluent,Strong,Medium,Data Scientist
Technology,Intermediate,Flexible,Masters,Thinker,Intuitive,High,Fluent,Collaborative,Medium,Software Engineer
Technology,None,Flexible,Bachelors,Leader,Logical,None,Average,None,Very High,Marketing Manager
Art,None,Remote,High School,Extrovert,Creative,Very High,Poor,Strong,Medium,Graphic Designer
Art,Beginner,Team,Bachelors,Leader,Logical,Medium,Poor,Strong,Very High,Graphic Designer
Technology,None,Solo,Bachelors,Thinker,Intuitive,Very High,Outstanding,Strong,High,Marketing Manager
Medicine,Beginner,Flexible,PhD,Introvert,Practical,High,Average,Collaborative,High,Doctor
Medicine,Advanced,Office,PhD,Extrovert,Analytical,High,Outstanding,Moderate,Exceptional,Doctor
Art,Intermediate,Solo,PhD,Introvert,Creative,Very High,Poor,Collaborative,Exceptional,Marketing Manager
Science,None,Remote,Diploma,Thinker,Practical,Medium,Average,None,Very High,Software Engineer
Science,Advanced,Remote,PhD,Thinker,Practical,Low,Poor,Collaborative,Very High,Marketing Manager
Medicine,Beginner,Remote,Diploma,Introvert,Analytical,Low,Excellent,Moderate,High,Data Scientist
Technology,Advanced,Solo,PhD,Introvert,Analytical,Low,Fluent,None,Low,Graphic Designer
Medicine,Intermediate,Team,PhD,Leader,Intuitive,High,Fluent,Strong,High,Data Scientist
Art,Beginner,Office,High School,Introvert,Logical,High,Average,None,Very High,Graphic Designer
Technology,Advanced,Remote,Diploma,Thinker,Practical,Very High,Poor,Visionary,High,Graphic Designer
Science,Intermediate,Office,Bachelors,Introvert,Intuitive,None,Fluent,None,High,Software Engineer
Medicine,Beginner,Office,High School,Introvert,Creative,Very High,Poor,None,High,Marketing Manager
Art,Advanced,Team,Bachelors,Doer,Intuitive,High,Outstanding,Moderate,Exceptional,Marketing Manager
Medicine,Intermediate,Solo,Diploma,Extrovert,Analytical,Medium,Average,Collaborative,Low,Doctor
Medicine,Beginner,Flexible,Masters,Leader,Logical,Medium,Fluent,None,Very High,Marketing Manager
Technology,Beginner,Flexible,Masters,Introvert,Creative,None,Outstanding,Visionary,Exceptional,Doctor
Art,Expert,Solo,High School,Thinker,Logical,Very High,Outstanding,None,Low,Graphic Designer
Art,Intermediate,Remote,PhD,Leader,Practical,Low,Average,Visionary,High,Doctor
Business,Intermediate,Solo,Masters,Extrovert,Creative,High,Outstanding,Collaborative,Low,Marketing Manager
Technology,Advanced,Team,Masters,Doer,Creative,None,Poor,Moderate,High,Doctor
Art,Intermediate,Office,Masters,Leader,Logical,Very High,Average,Collaborative,Very High,Doctor
Technology,Intermediate,Office,Diploma,Extrovert,Logical,Medium,Poor,Strong,Exceptional,Software Engineer
Science,Beginner,Team,Diploma,Doer,Practical,Very High,Fluent,None,Low,Graphic Designer
Science,Expert,Flexible,High School,Extrovert,Intuitive,Very High,Poor,Visionary,Very High,Data Scientist
Technology,Advanced,Team,Masters,Introvert,Creative,Low,Poor,Visionary,High,Data Scientist
Science,Intermediate,Solo,Masters,Leader,Creative,High,Outstanding,Collaborative,Medium,Graphic Designer
Business,None,Team,Diploma,Leader,Creative,High,Fluent,Moderate,Low,Doctor
Art,Expert,Flexible,PhD,Thinker,Logical,Low,Fluent,None,Medium,Data Scientist
Business,Advanced,Flexible,PhD,Thinker,Practical,None,Outstanding,Strong,High,Data Scientist
Science,Intermediate,Team,Diploma,Introvert,Intuitive,None,Outstanding,Strong,Medium,Data Scientist
Science,Advanced,Remote,Bachelors,Thinker,Practical,Very High,Poor,None,Medium,Marketing Manager
Medicine,None,Remote,PhD,Extrovert,Analytical,High,Fluent,None,Low,Doctor
Science,Beginner,Flexible,PhD,Thinker,Practical,Medium,Fluent,None,Very High,Data Scientist
Art,Intermediate,Remote,Bachelors,Thinker,Practical,Very High,Fluent,None,Low,Marketing Manager
Science,Advanced,Office,Masters,Doer,Analytical,None,Excellent,Collaborative,High,Data Scientist
Business,None,Team,High School,Extrovert,Analytical,None,Excellent,Strong,Very High,Doctor
Science,None,Office,PhD,Introvert,Intuitive,None,Poor,Moderate,Exceptional,Graphic Designer
Art,None,Solo,PhD,Leader,Practical,Medium,Fluent,Strong,High,Software Engineer
Business,Beginner,Flexible,PhD,Leader,Practical,High,Poor,Collaborative,Very High,Graphic Designer
Art,Intermediate,Team,Bachelors,Leader,Intuitive,Medium,Poor,Moderate,Very High,Doctor
Art,None,Solo,Diploma,Extrovert,Intuitive,Low,Excellent,Strong,High,Data Scientist
Technology,Beginner,Flexible,Diploma,Thinker,Logical,Medium,Average,Collaborative,Medium,Doctor
Art,Expert,Solo,PhD,Extrovert,Creative,Low,Excellent,Collaborative,Medium,Data Scientist
Technology,Beginner,Team,Masters,Extrovert,Intuitive,Very High,Fluent,Collaborative,Very High,Graphic Designer
Business,Expert,Flexible,PhD,Thinker,Intuitive,High,Poor,None,Medium,Data Scientist
Science,Intermediate,Remote,Bachelors,Extrovert,Analytical,Very High,Poor,Collaborative,High,Graphic Designer
Science,Intermediate,Office,Masters,Leader,Analytical,Medium,Fluent,None,Exceptional,Marketing Manager
Art,Expert,Flexible,High School,Leader,Analytical,None,Average,Collaborative,Very High,Marketing Manager
Art,Advanced,Team,High School,Introvert,Intuitive,High,Outstanding,Strong,Exceptional,Graphic Designer
Science,Expert,Solo,Diploma,Thinker,Creative,Medium,Fluent,Strong,Exceptional,Software Engineer
Business,None,Office,PhD,Doer,Practical,None,Excellent,None,Very High,Graphic Designer
Business,None,Solo,PhD,Thinker,Intuitive,None,Fluent,Collaborative,Medium,Doctor
Medicine,Beginner,Flexible,Bachelors,Extrovert,Practical,Low,Average,Visionary,Very High,Data Scientist
Technology,Advanced,Remote,High School,Leader,Analytical,Medium,Excellent,Moderate,Exceptional,Software Engineer
Business,Beginner,Flexible,PhD,Leader,Logical,High,Fluent,Collaborative,High,Software Engineer
Technology,Beginner,Team,Bachelors,Extrovert,Intuitive,High,Excellent,Collaborative,Exceptional,Marketing Manager
Art,None,Team,Masters,Leader,Analytical,Medium,Fluent,None,High,Marketing Manager
Business,Advanced,Office,Masters,Thinker,Creative,None,Fluent,Collaborative,Exceptional,Graphic Designer
Art,Advanced,Office,Bachelors,Leader,Practical,High,Average,Moderate,Very High,Software Engineer
Art,Intermediate,Solo,Diploma,Doer,Analytical,Low,Outstanding,Collaborative,Very High,Doctor
Art,None,Remote,Masters,Thinker,Logical,Very High,Outstanding,None,High,Doctor
Technology,Beginner,Team,PhD,Thinker,Creative,Medium,Excellent,None,Medium,Marketing Manager
Science,None,Remote,Diploma,Doer,Creative,High,Outstanding,Visionary,Very High,Doctor
Business,Intermediate,Team,High School,Thinker,Analytical,Very High,Poor,Collaborative,Very High,Marketing Manager
Business,None,Remote,High School,Doer,Creative,High,Outstanding,Collaborative,Very High,Software Engineer
Business,None,Team,PhD,Extrovert,Logical,Very High,Excellent,Moderate,Very High,Data Scientist
Art,Beginner,Remote,High School,Leader,Creative,High,Poor,Strong,Exceptional,Marketing Manager
Business,Advanced,Team,PhD,Doer,Creative,High,Poor,Collaborative,Exceptional,Software Engineer
Science,Advanced,Team,PhD,Introvert,Logical,None,Outstanding,Collaborative,Medium,Doctor
Science,Advanced,Office,PhD,Leader,Practical,None,Average,Visionary,Exceptional,Doctor
Science,None,Team,PhD,Thinker,Logical,Medium,Fluent,Moderate,Low,Data Scientist
Business,Intermediate,Flexible,Masters,Introvert,Creative,None,Poor,Strong,High,Data Scientist
Art,Intermediate,Team,High School,Leader,Creative,High,Outstanding,Strong,High,Marketing Manager
Technology,None,Team,Masters,Leader,Intuitive,Low,Outstanding,Visionary,Very High,Software Engineer
Medicine,Advanced,Team,PhD,Thinker,Practical,Medium,Average,Moderate,Low,Doctor
Science,Advanced,Flexible,High School,Extrovert,Creative,Very High,Average,Moderate,High,Marketing Manager
Science,None,Remote,PhD,Introvert,Practical,None,Excellent,Visionary,High,Graphic Designer
Business,Expert,Team,High School,Leader,Logical,Very High,Poor,Visionary,High,Marketing Manager
Medicine,Advanced,Flexible,PhD,Thinker,Practical,Low,Excellent,Moderate,Low,Marketing Manager
Business,Advanced,Remote,High School,Introvert,Intuitive,None,Outstanding,Moderate,Medium,Graphic Designer
Medicine,Expert,Team,Bachelors,Leader,Intuitive,High,Excellent,Strong,Medium,Graphic Designer
Art,Intermediate,Solo,Masters,Thinker,Logical,Low,Outstanding,Strong,High,Graphic Designer
Art,None,Team,Bachelors,Thinker,Analytical,Low,Average,None,Exceptional,Marketing Manager
Business,Beginner,Office,Bachelors,Extrovert,Logical,High,Outstanding,None,Low,Doctor
Technology,Advanced,Team,Masters,Doer,Analytical,None,Poor,Visionary,Very High,Software Engineer
Technology,Advanced,Remote,High School,Introvert,Creative,Low,Poor,Moderate,Exceptional,Software Engineer
Technology,Expert,Remote,Masters,Thinker,Analytical,Very High,Outstanding,None,Exceptional,Data Scientist
Medicine,None,Solo,Bachelors,Leader,Logical,Very High,Excellent,Visionary,High,Graphic Designer
Medicine,Advanced,Team,Masters,Introvert,Practical,High,Poor,Collaborative,Exceptional,Data Scientist
Technology,Beginner,Remote,High School,Extrovert,Logical,Medium,Average,None,Very High,Data Scientist
Science,Expert,Team,PhD,Introvert,Logical,Low,Fluent,Strong,Low,Marketing Manager
Science,None,Team,PhD,Introvert,Analytical,Medium,Outstanding,Visionary,High,Doctor
Science,Beginner,Flexible,Masters,Introvert,Analytical,Very High,Excellent,None,High,Software Engineer
Science,None,Team,Masters,Doer,Logical,Low,Outstanding,Moderate,Medium,Doctor
Art,Intermediate,Team,Diploma,Extrovert,Practical,High,Fluent,Visionary,Very High,Marketing Manager
Business,Advanced,Solo,Diploma,Introvert,Practical,High,Poor,Visionary,Low,Software Engineer
Science,None,Solo,PhD,Leader,Analytical,High,Fluent,None,Low,Graphic Designer
Business,Intermediate,Solo,High School,Thinker,Logical,High,Poor,Visionary,Medium,Graphic Designer
Art,Beginner,Office,High School,Thinker,Practical,High,Average,Collaborative,Low,Software Engineer
Business,Expert,Flexible,Masters,Extrovert,Creative,Low,Fluent,Moderate,High,Software Engineer
Science,Advanced,Solo,High School,Introvert,Creative,Medium,Average,Collaborative,Exceptional,Doctor
Technology,Intermediate,Office,Diploma,Extrovert,Analytical,High,Poor,Strong,Low,Data Scientist
Medicine,Intermediate,Office,PhD,Doer,Practical,High,Outstanding,Collaborative,High,Data Scientist
Art,Beginner,Office,High School,Doer,Logical,Medium,Poor,Visionary,Medium,Data Scientist
Medicine,Beginner,Office,Diploma,Extrovert,Practical,High,Average,Strong,Exceptional,Data Scientist
Technology,Advanced,Team,Masters,Introvert,Logical,Medium,Poor,Collaborative,High,Software Engineer
Technology,Beginner,Remote,Bachelors,Extrovert,Intuitive,None,Poor,None,Medium,Software Engineer
Art,Expert,Flexible,Diploma,Extrovert,Creative,None,Average,Collaborative,Very High,Software Engineer
Business,Beginner,Solo,Bachelors,Extrovert,Creative,Low,Outstanding,Moderate,Exceptional,Data Scientist
Business,Advanced,Remote,High School,Extrovert,Analytical,Medium,Outstanding,Strong,Very High,Doctor
Science,Intermediate,Office,Diploma,Extrovert,Creative,None,Excellent,Strong,Exceptional,Software Engineer
Technology,Intermediate,Remote,Diploma,Doer,Analytical,Low,Fluent,Moderate,Low,Marketing Manager
Technology,Expert,Remote,Masters,Thinker,Intuitive,Medium,Outstanding,Strong,Very High,Software Engineer
Science,Advanced,Solo,High School,Doer,Logical,Medium,Outstanding,Strong,Medium,Doctor
Technology,Advanced,Team,Diploma,Leader,Intuitive,None,Fluent,Collaborative,Exceptional,Software Engineer
Technology,Expert,Flexible,Diploma,Thinker,Creative,None,Excellent,Collaborative,Low,Software Engineer
Business,None,Office,PhD,Leader,Intuitive,High,Poor,Strong,Exceptional,Data Scientist
Art,Intermediate,Solo,High School,Extrovert,Practical,None,Excellent,Strong,Low,Marketing Manager
Technology,Expert,Solo,Masters,Leader,Creative,Low,Fluent,None,Low,Marketing Manager
Art,Beginner,Team,Diploma,Introvert,Analytical,High,Average,Collaborative,Very High,Data Scientist
Business,Beginner,Remote,Masters,Extrovert,Logical,High,Average,Collaborative,Very High,Graphic Designer
Science,Advanced,Team,Bachelors,Introvert,Practical,Very High,Average,None,High,Doctor
Business,Beginner,Remote,PhD,Introvert,Logical,High,Fluent,Strong,High,Marketing Manager
Art,Expert,Solo,Masters,Extrovert,Creative,None,Poor,None,High,Software Engineer
Art,None,Remote,Masters,Doer,Intuitive,High,Excellent,Moderate,High,Marketing Manager
Technology,Expert,Office,Bachelors,Leader,Intuitive,Low,Fluent,Visionary,Very High,Doctor
Art,Intermediate,Flexible,Diploma,Introvert,Analytical,High,Poor,Moderate,High,Graphic Designer
Science,Advanced,Team,Bachelors,Extrovert,Practical,High,Fluent,Visionary,Very High,Doctor
Art,None,Flexible,Bachelors,Leader,Practical,Medium,Poor,Collaborative,Low,Graphic Designer
Science,Advanced,Solo,High School,Thinker,Creative,High,Average,Strong,Low,Data Scientist
Business,Intermediate,Remote,Bachelors,Extrovert,Practical,Medium,Poor,Collaborative,Very High,Marketing Manager
Science,Beginner,Flexible,PhD,Doer,Practical,Medium,Average,Visionary,High,Doctor
Science,None,Remote,High School,Extrovert,Analytical,High,Fluent,None,Low,Graphic Designer
Technology,Expert,Solo,Masters,Thinker,Logical,Very High,Excellent,Moderate,Low,Data Scientist
Science,Intermediate,Remote,Bachelors,Thinker,Intuitive,High,Poor,Visionary,Medium,Marketing Manager
Science,Intermediate,Office,Bachelors,Leader,Logical,High,Excellent,Strong,Medium,Doctor
Medicine,Intermediate,Office,Diploma,Doer,Analytical,None,Fluent,Visionary,Low,Doctor
Technology,Advanced,Flexible,Bachelors,Extrovert,Practical,Low,Outstanding,Collaborative,Exceptional,Doctor
Technology,Beginner,Flexible,Masters,Extrovert,Intuitive,None,Outstanding,Moderate,Low,Data Scientist
Science,Beginner,Office,Bachelors,Extrovert,Analytical,High,Excellent,Collaborative,Medium,Doctor
Medicine,Beginner,Team,Masters,Leader,Creative,Low,Outstanding,Moderate,Low,Doctor
Business,None,Solo,Diploma,Doer,Creative,High,Outstanding,Strong,Medium,Marketing Manager
Technology,Beginner,Flexible,PhD,Doer,Analytical,High,Average,Visionary,Very High,Data Scientist
Business,Intermediate,Solo,Diploma,Leader,Logical,High,Average,Visionary,Medium,Graphic Designer
Art,None,Office,High School,Thinker,Logical,Very High,Outstanding,Collaborative,Medium,Software Engineer
Art,Expert,Flexible,Masters,Extrovert,Intuitive,None,Excellent,Collaborative,Low,Software Engineer
Medicine,Advanced,Team,Bachelors,Leader,Intuitive,Medium,Outstanding,Visionary,Low,Software Engineer
Technology,Advanced,Team,Diploma,Extrovert,Practical,Medium,Poor,None,High,Marketing Manager
Medicine,Intermediate,Flexible,Bachelors,Introvert,Intuitive,None,Average,Collaborative,Low,Doctor
Business,Beginner,Flexible,Bachelors,Extrovert,Creative,Medium,Average,Collaborative,High,Software Engineer
Technology,Intermediate,Flexible,Masters,Leader,Intuitive,Low,Poor,Collaborative,Exceptional,Software Engineer
Medicine,Expert,Remote,Masters,Leader,Intuitive,None,Fluent,Moderate,Medium,Data Scientist
Technology,None,Remote,High School,Introvert,Intuitive,Medium,Fluent,Collaborative,Low,Doctor
Business,Advanced,Team,Diploma,Doer,Creative,Very High,Outstanding,Collaborative,Very High,Doctor
Science,Advanced,Team,PhD,Extrovert,Intuitive,Very High,Fluent,None,High,Software Engineer
Art,None,Office,High School,Leader,Creative,High,Fluent,Visionary,Very High,Marketing Manager
Business,Advanced,Flexible,Diploma,Thinker,Analytical,Very High,Excellent,None,High,Data Scientist
Technology,Advanced,Remote,Bachelors,Thinker,Intuitive,High,Outstanding,Strong,High,Marketing Manager
Art,Advanced,Solo,High School,Introvert,Creative,Medium,Poor,Moderate,Exceptional,Data Scientist
Science,Expert,Team,PhD,Extrovert,Practical,High,Poor,Moderate,Very High,Doctor
Science,Intermediate,Flexible,Masters,Extrovert,Analytical,High,Poor,Strong,Medium,Graphic Designer
Business,None,Remote,Bachelors,Thinker,Analytical,None,Poor,None,Medium,Software Engineer
Medicine,Intermediate,Remote,Masters,Thinker,Intuitive,None,Poor,Collaborative,Medium,Graphic Designer
Business,Intermediate,Team,Diploma,Doer,Analytical,None,Outstanding,Collaborative,Low,Marketing Manager
Business,Beginner,Solo,PhD,Thinker,Intuitive,None,Fluent,None,Exceptional,Marketing Manager
Science,Intermediate,Office,Bachelors,Doer,Practical,Low,Fluent,None,Medium,Graphic Designer
Art,Advanced,Remote,Bachelors,Doer,Intuitive,High,Poor,Strong,High,Doctor
Medicine,Intermediate,Flexible,PhD,Extrovert,Intuitive,None,Average,Strong,Exceptional,Graphic Designer
Business,Advanced,Flexible,Bachelors,Extrovert,Logical,High,Average,None,High,Doctor
Medicine,None,Office,High School,Doer,Creative,Medium,Excellent,Strong,Low,Marketing Manager
Art,Advanced,Office,High School,Introvert,Intuitive,None,Average,Collaborative,High,Graphic Designer
Medicine,None,Flexible,High School,Extrovert,Creative,High,Fluent,Moderate,Very High,Software Engineer
Science,Intermediate,Office,High School,Extrovert,Intuitive,Medium,Excellent,Strong,Exceptional,Graphic Designer
Medicine,Beginner,Office,PhD,Doer,Analytical,None,Excellent,Collaborative,High,Doctor
Art,Beginner,Remote,Diploma,Doer,Intuitive,Very High,Fluent,Moderate,Medium,Software Engineer
Business,Advanced,Solo,Bachelors,Thinker,Creative,Medium,Excellent,Collaborative,Medium,Software Engineer
Medicine,Intermediate,Remote,Diploma,Leader,Practical,Low,Outstanding,Collaborative,Medium,Data Scientist
Medicine,Advanced,Remote,High School,Introvert,Practical,High,Outstanding,None,Medium,Doctor
Art,Beginner,Solo,High School,Introvert,Practical,None,Excellent,Moderate,High,Doctor
Medicine,Advanced,Solo,Masters,Introvert,Intuitive,None,Excellent,Collaborative,Exceptional,Graphic Designer
Medicine,Beginner,Remote,High School,Extrovert,Creative,Low,Outstanding,Strong,Medium,Marketing Manager
Medicine,Intermediate,Solo,Masters,Doer,Practical,Low,Outstanding,None,Medium,Doctor
Science,Expert,Flexible,High School,Introvert,Creative,Very High,Average,Moderate,Exceptional,Marketing Manager
Art,Advanced,Solo,PhD,Extrovert,Intuitive,Low,Excellent,Moderate,High,Doctor
Art,None,Flexible,Masters,Thinker,Intuitive,Very High,Fluent,None,Exceptional,Doctor
Art,Advanced,Remote,PhD,Leader,Practical,Low,Excellent,Collaborative,High,Software Engineer
Medicine,Beginner,Team,Bachelors,Leader,Practical,Low,Fluent,Moderate,Medium,Graphic Designer
Business,None,Remote,Masters,Thinker,Practical,Very High,Average,Visionary,Low,Graphic Designer
Science,Beginner,Flexible,Masters,Doer,Intuitive,None,Fluent,Collaborative,Low,Software Engineer
Technology,None,Office,Bachelors,Leader,Logical,Medium,Outstanding,Collaborative,Very High,Software Engineer
Medicine,Advanced,Office,Masters,Extrovert,Intuitive,Low,Fluent,Moderate,Very High,Data Scientist
Business,Advanced,Solo,High School,Introvert,Analytical,None,Poor,Visionary,Medium,Data Scientist
Science,Beginner,Remote,Diploma,Leader,Logical,Low,Average,Visionary,Low,Graphic Designer
Art,Intermediate,Flexible,Masters,Introvert,Analytical,None,Outstanding,Visionary,Low,Software Engineer
Business,None,Team,Diploma,Thinker,Analytical,Medium,Fluent,None,Medium,Marketing Manager
Medicine,Beginner,Flexible,Diploma,Leader,Intuitive,Low,Fluent,Strong,Low,Doctor
Art,Advanced,Office,Diploma,Leader,Analytical,Very High,Average,Strong,High,Doctor
Business,Beginner,Team,PhD,Doer,Practical,Low,Poor,Visionary,Medium,Marketing Manager
Art,Expert,Solo,PhD,Doer,Intuitive,High,Poor,Moderate,Very High,Software Engineer
Medicine,Advanced,Remote,Diploma,Extrovert,Creative,None,Outstanding,Visionary,Low,Data Scientist
Technology,Advanced,Flexible,PhD,Doer,Practical,Medium,Poor,Visionary,Very High,Graphic Designer
Medicine,Expert,Solo,Diploma,Introvert,Logical,Low,Poor,Moderate,Very High,Software Engineer
Art,Advanced,Office,Bachelors,Thinker,Practical,Medium,Poor,Strong,Medium,Data Scientist
Technology,Intermediate,Team,PhD,Leader,Analytical,Medium,Excellent,Strong,Exceptional,Graphic Designer
Medicine,Advanced,Office,Masters,Doer,Creative,None,Average,None,Low,Doctor
Business,Advanced,Office,PhD,Introvert,Analytical,None,Excellent,Strong,Very High,Graphic Designer
Art,Advanced,Flexible,High School,Extrovert,Logical,Low,Excellent,Visionary,Low,Software Engineer
Art,Advanced,Flexible,PhD,Introvert,Analytical,Low,Fluent,Visionary,Exceptional,Graphic Designer
Business,Expert,Office,Bachelors,Doer,Practical,High,Average,Strong,Medium,Graphic Designer
Medicine,Intermediate,Flexible,Bachelors,Doer,Analytical,High,Poor,None,Very High,Doctor
Art,Intermediate,Office,Diploma,Thinker,Creative,Medium,Fluent,None,High,Marketing Manager
Science,Intermediate,Team,Diploma,Introvert,Logical,Low,Average,Visionary,Exceptional,Marketing Manager
Business,Intermediate,Office,PhD,Thinker,Intuitive,Very High,Fluent,None,High,Data Scientist
Technology,Beginner,Flexible,Bachelors,Doer,Intuitive,Very High,Fluent,Moderate,Medium,Software Engineer
Business,None,Team,Masters,Thinker,Intuitive,Low,Excellent,Visionary,Very High,Data Scientist
Business,None,Solo,Diploma,Leader,Intuitive,Low,Outstanding,Moderate,Low,Data Scientist
Art,Expert,Team,High School,Introvert,Logical,Very High,Poor,Visionary,High,Graphic Designer
Art,Advanced,Remote,Diploma,Doer,Practical,None,Poor,Strong,Medium,Graphic Designer
Science,Intermediate,Office,Bachelors,Thinker,Intuitive,Low,Outstanding,None,High,Software Engineer
Science,Advanced,Remote,Masters,Doer,Analytical,Low,Average,Strong,Low,Graphic Designer
Science,Expert,Solo,Diploma,Extrovert,Practical,High,Poor,Collaborative,Medium,Graphic Designer
Business,Advanced,Flexible,Masters,Extrovert,Intuitive,High,Excellent,Visionary,Low,Marketing Manager
Technology,Intermediate,Flexible,PhD,Doer,Logical,Medium,Fluent,Visionary,Low,Marketing Manager
Art,None,Solo,Diploma,Leader,Practical,None,Outstanding,Strong,High,Marketing Manager
Technology,Advanced,Remote,Diploma,Introvert,Practical,None,Poor,None,High,Graphic Designer
Medicine,None,Flexible,Masters,Leader,Logical,Medium,Outstanding,Strong,Exceptional,Marketing Manager
Science,Advanced,Remote,Bachelors,Leader,Intuitive,None,Outstanding,Moderate,Exceptional,Data Scientist
Art,Expert,Team,High School,Thinker,Analytical,Medium,Fluent,Strong,Low,Marketing Manager
Science,None,Office,PhD,Thinker,Intuitive,High,Outstanding,Visionary,Medium,Doctor
Medicine,Intermediate,Flexible,Diploma,Leader,Logical,Very High,Average,Strong,Very High,Doctor
Business,Advanced,Office,Masters,Introvert,Analytical,Low,Fluent,Collaborative,High,Marketing Manager
Business,Advanced,Team,Diploma,Extrovert,Intuitive,None,Poor,Visionary,High,Software Engineer
Medicine,Intermediate,Team,PhD,Thinker,Practical,Medium,Outstanding,Moderate,Low,Marketing Manager
Art,Intermediate,Team,Bachelors,Doer,Creative,Medium,Outstanding,Strong,Low,Graphic Designer
Medicine,Beginner,Remote,Diploma,Thinker,Practical,Low,Average,Moderate,Medium,Data Scientist
Science,Expert,Solo,Bachelors,Leader,Analytical,None,Fluent,Moderate,Exceptional,Marketing Manager
Art,Expert,Remote,PhD,Extrovert,Logical,High,Excellent,Collaborative,Medium,Software Engineer
Business,Beginner,Solo,Diploma,Leader,Intuitive,Very High,Outstanding,Strong,High,Marketing Manager
Technology,Advanced,Remote,Bachelors,Doer,Intuitive,Medium,Poor,Moderate,Very High,Data Scientist
Science,Expert,Solo,Bachelors,Doer,Practical,None,Fluent,Moderate,Medium,Data Scientist
Art,Intermediate,Solo,PhD,Doer,Practical,Medium,Fluent,None,Exceptional,Graphic Designer
Technology,Expert,Solo,High School,Thinker,Analytical,Very High,Excellent,None,Medium,Marketing Manager
Art,None,Office,Masters,Leader,Analytical,Very High,Average,Moderate,Exceptional,Graphic Designer
Technology,Expert,Solo,High School,Introvert,Logical,None,Fluent,None,Medium,Doctor
Business,Expert,Team,Masters,Introvert,Creative,Low,Poor,Collaborative,Medium,Marketing Manager
Medicine,Advanced,Solo,Masters,Thinker,Creative,Medium,Poor,Collaborative,Exceptional,Doctor
Medicine,Expert,Flexible,Bachelors,Leader,Practical,None,Average,None,Medium,Software Engineer
